"","NBC.mean","MBC.mean","Class"
"AMPL130827",0.602191788617733,0.217932134145258,"Naive B-cell high"
"AMPL130831",0.506148471054524,0.563205427897692,"Memory B-cell high"
"AMPL130833",0.425873548105228,0.492108238423281,"Memory B-cell high"
"AMPL130835",0.73835384414756,0.148769093663972,"Naive B-cell high"
"AMPL130837",0.747752975162632,0.270600771629411,"Naive B-cell high"
"AMPL130838",0.852843490516648,0.602278596854454,"Naive B-cell high"
"AMPL130839",0.865740174015734,0.552775703482386,"Naive B-cell high"
"AMPL130840",0.871077144075093,0.502875236598768,"Naive B-cell high"
"AMPL130841",0.744690850621751,0.810469393588081,"Memory B-cell high"
"AMPL130842",0.753330048726531,0.228373342755313,"Naive B-cell high"
"AMPL130846",0.676009373386848,0.827033339383065,"Memory B-cell high"
"AMPL130849",0.87732787619511,0.472342272941004,"Naive B-cell high"
"AMPL130850",0.062741995866433,0.06476685350447,"Memory B-cell high"
"AMPL130851",0.063245928720269,0.063768803536187,"Memory B-cell high"
"AMPL130852",0.085080524444078,0.101818827316529,"Memory B-cell high"
"AMPL130853",0.855538789645702,0.181209413204334,"Naive B-cell high"
"AMPL130854",0.063126019538686,0.077320907014783,"Memory B-cell high"
"AMPL130855",0.260013512840093,0.111694659070845,"Naive B-cell high"
"AMPL130856",0.323687205084548,0.739035410961184,"Memory B-cell high"
"AMPL130859",0.168914455077826,0.153628130382244,"Naive B-cell high"
"AMPL130862",0.23130263669851,0.522013941424719,"Memory B-cell high"
"AMPL130864",0.146223939654953,0.336023414461594,"Memory B-cell high"
"AMPL130866",0.858635051623631,0.854062234150277,"Naive B-cell high"
"AMPL130867",0.257850571352203,0.406891610670608,"Memory B-cell high"
"AMPL130868",0.251356525119822,0.613848486158956,"Memory B-cell high"
"AMPL130869",0.924500643483553,0.590151053829884,"Naive B-cell high"
"AMPL130870",0.138708037266974,0.631386214824624,"Memory B-cell high"
"AMPL130871",0.177271182638432,0.194894989493631,"Memory B-cell high"
"AMPL130878",0.489906168819289,0.099998744767346,"Naive B-cell high"
"AMPL130883",0.862490730252023,0.224446011806831,"Naive B-cell high"
"AMPL130885",0.924433812658783,0.923257274168779,"Naive B-cell high"
"AMPL130886",0.871225567930637,0.513994230622592,"Naive B-cell high"
"AMPL130887",0.907767798656977,0.726387983058658,"Naive B-cell high"
"AMPL130888",0.591211096259926,0.581265477595832,"Naive B-cell high"
"AMPL130889",0.071205766995417,0.072542054793932,"Memory B-cell high"
"AMPL130891",0.769438681200487,0.653963906801228,"Naive B-cell high"
"AMPL130898",0.890948041323951,0.747031815153927,"Naive B-cell high"
"AMPL130900",0.853733166689502,0.657487604967734,"Naive B-cell high"
"AMPL130907",0.673895283557752,0.069333585984121,"Naive B-cell high"
"AMPL130910",0.452697926798002,0.882068977163371,"Memory B-cell high"
"AMPL130911",0.080784594392054,0.255300471360863,"Memory B-cell high"
"AMPL130917",0.755441159538485,0.864653539309222,"Memory B-cell high"
"AMPL130920",0.899712967462844,0.755371546990986,"Naive B-cell high"
